ts,round,wave,agent,x_families,y,model,split,metric,value,coverage,notes
2026-09-18T23:59,R1,1,1387ca0e,A,-,verify,train,n_a_cols,20,1.00,cashflow OK; a_growth_12 26.5%; a_pending_share near-zero var
2026-09-19T00:00,R1,1,a3360891,-,Y1+Y2,verify,train,y2_neg_2of3_rate,0.0732,0.82,ACCEPTED size_auc=0.53; runway_lt1 REJECTED 38% SIZE_PROXY; onset REJECTED 1.1%
2026-09-19T00:01,R1,1,a26c1e9d,B,-,verify,train,b_liq_cov,0.9898,0.99,matches score_pipeline _liquidity maxabs=0
2026-09-19T00:02,R1,1,c36e5a12,C,-,verify,train,c_gap_sd_cov,0.951,1.00,12 c_ cols; June flag 62 vs Javier 61 due to COMP_0981 2026-09-01
2026-09-19T00:03,R1,1,a38ceaea,E,-,verify,train,e_ar_open_cov,0.641,0.61,15 e_ cols; delay matches pipeline; 470 train cos no invoices
2026-09-19T00:04,R1,1,be2b53f0,F,-,verify,train,f_ds_r_cov,0.885,1.00,15 f_ cols; schedule 1.7% CM / 3% cos; util snapshot last month only
2026-09-19T00:05,R2,2,bc1aa635,G,-,verify,train,g_n_accounts_cov,1.00,0.88,13 g_ cols; post-snapshot products excluded; shares NaN if no account yet
2026-09-19T00:06,R2,2,e1665b98,H,-,verify,train,h_sib_in_cov,1.00,0.98,7 h_ cols; solos share=1; sib_neg null on size-1
2026-09-19T00:07,R1,1,335a970c,-,Y5,verify,train,y5_ap_od30_ownp80,0.0852,1.00,ACCEPTED size=0.54; y5_ar_od30_sust 7.15% ACCEPTED; delay_up15 4.49% REJECTED
2026-09-19T00:08,R2,2,eacfb1c5,-,Y4,verify,train,y4_ds_r_double,0.1388,0.11,ACCEPTED size=0.44; others REJECTED (gt05 2.6%
2026-09-19T00:09,R1,1,0322eac0,D,-,verify,train,d_cust_hhi_cov,0.422,0.55,10 d_ cols; d_interco_share all-NaN (no COMP_* join); tx cp median 0
2026-09-19T00:10,R2,2,83986f10,-,Y3+Y6,verify,train,y3_recover_cash_6m,0.0712,1.00,ACCEPTED among stressed; y6_missed_payroll 6.1% ACCEPTED; y6_zero_in_3 CAUTION inverse-size; y3_recover_6m and y6_silent_60 REJECTED
2026-09-19T00:12,R4,3,2b391abc,-,Y1,weekly_ts,train40,mae_vs_mean,0.0,1.00,PARK TS: weekly ETS/SARIMAX do not beat hist mean (same as monthly)
2026-09-19T00:15,R1,2,d0748ae4,ACDEFGH,Y1+Y2,baselines,holdout,y1_net_h1_mase,0.341,1.00,hist_mean wins Y1 flows; last_value wins liq; Javier y2 AUROC 0.776 uses B; y2 holdout n_pos=23
2026-09-19T00:16,R3,2,ebab6189,-,Y7+Y8,verify,train,y7_top1_lost_inflow,0.0623,0.32,all four ACCEPTED; y8 leak screen single-e max 0.53
2026-09-19T00:17,R2,3,d2753bb5,ACDEFGH,Y3,lgbm,cv,auroc,0.710,1.00,beats c_n_days_with_tx; holdout 0.899 n_pos=14 LOW_POWER; Y6 missed_payroll PARK
2026-09-19T00:18,R1,3,6bfff878,ACDEFGH,Y2,lgbm,holdout,auroc,0.491,1.00,PARK y2 GBM; gain is size/activity; n_pos=23
2026-09-19T00:18,R3,3,b8b89dac,-,Y1-Y8,assemble,panel,n_y_cols,25,1.00,targets.parquet 22230x27; y_acceptance patched for Y7/Y8
2026-09-19T00:20,R3,3,22a1f47e,-,accepted_Ys,holdout_power,holdout,n_pos_max,23,1.00,ALL six binaries LOW_POWER on holdout; quote train CV only
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,last_value,holdout,mase,0.407665,1.0000,series=net; mae=2.102e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,last_value,holdout,smape,1.2537,1.0000,series=net; mae=2.102e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,hist_mean,holdout,mase,0.34066,1.0000,series=net; mae=1.756e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,hist_mean,holdout,smape,1.33185,1.0000,series=net; mae=1.756e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,seasonal_naive_12,holdout,mase,0.0933835,0.2837,series=net; mae=4.815e+05; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h1,seasonal_naive_12,holdout,smape,1.39068,0.2837,series=net; mae=4.815e+05; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,last_value,holdout,mase,0.365336,1.0000,series=net; mae=1.884e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,last_value,holdout,smape,1.26476,1.0000,series=net; mae=1.884e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,hist_mean,holdout,mase,0.361437,1.0000,series=net; mae=1.864e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,hist_mean,holdout,smape,1.36154,1.0000,series=net; mae=1.864e+06; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,seasonal_naive_12,holdout,mase,0.0933835,0.3314,series=net; mae=4.815e+05; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_net_h3,seasonal_naive_12,holdout,smape,1.39068,0.3314,series=net; mae=4.815e+05; scale=5.156e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,last_value,holdout,mase,0.570272,1.0000,series=op_in; mae=3.657e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,last_value,holdout,smape,0.789608,1.0000,series=op_in; mae=3.657e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,hist_mean,holdout,mase,0.451601,1.0000,series=op_in; mae=2.896e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,hist_mean,holdout,smape,0.893393,1.0000,series=op_in; mae=2.896e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,seasonal_naive_12,holdout,mase,0.151003,0.2837,series=op_in; mae=9.684e+05; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h1,seasonal_naive_12,holdout,smape,0.952675,0.2837,series=op_in; mae=9.684e+05; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,last_value,holdout,mase,0.512145,1.0000,series=op_in; mae=3.285e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,last_value,holdout,smape,0.801476,1.0000,series=op_in; mae=3.285e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,hist_mean,holdout,mase,0.495775,1.0000,series=op_in; mae=3.18e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,hist_mean,holdout,smape,0.9209,1.0000,series=op_in; mae=3.18e+06; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,seasonal_naive_12,holdout,mase,0.151003,0.3314,series=op_in; mae=9.684e+05; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_in_h3,seasonal_naive_12,holdout,smape,0.952675,0.3314,series=op_in; mae=9.684e+05; scale=6.413e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,last_value,holdout,mase,1.7942,1.0000,series=liq; mae=1.252e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,last_value,holdout,smape,0.48641,1.0000,series=liq; mae=1.252e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,hist_mean,holdout,mase,2.09376,1.0000,series=liq; mae=1.461e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,hist_mean,holdout,smape,0.616507,1.0000,series=liq; mae=1.461e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,seasonal_naive_12,holdout,mase,0.0946568,0.2837,series=liq; mae=6.607e+05; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h1,seasonal_naive_12,holdout,smape,0.871115,0.2837,series=liq; mae=6.607e+05; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,last_value,holdout,mase,1.90064,1.0000,series=liq; mae=1.327e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,last_value,holdout,smape,0.634232,1.0000,series=liq; mae=1.327e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,hist_mean,holdout,mase,2.46714,1.0000,series=liq; mae=1.722e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,hist_mean,holdout,smape,0.706218,1.0000,series=liq; mae=1.722e+07; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,seasonal_naive_12,holdout,mase,0.0946568,0.3314,series=liq; mae=6.607e+05; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,-,y1_liq_h3,seasonal_naive_12,holdout,smape,0.871115,0.3314,series=liq; mae=6.607e+05; scale=6.98e+06
2026-09-19T00:05,R1,2,d0748ae4,H,y2_neg_2of3,single_h_n_siblings_active,holdout,auroc,0.855959,1.0000,sign=-; train_auc=0.5026; families=A+C+D+E+F+G+H
2026-09-19T00:05,R1,2,d0748ae4,F,y2_neg_2of3,single_f_fc_r,holdout,auroc,0.699991,0.8331,sign=+; train_auc=0.5210; families=A+C+D+E+F+G+H
2026-09-19T00:05,R1,2,d0748ae4,E,y2_neg_2of3,single_e_delay_coll,holdout,auroc,0.691619,0.3932,sign=-; train_auc=0.5649; families=A+C+D+E+F+G+H
2026-09-19T00:05,R1,2,d0748ae4,E,y2_neg_2of3,single_e_ar_overdue,holdout,auroc,0.690159,0.4294,sign=-; train_auc=0.5701; families=A+C+D+E+F+G+H
2026-09-19T00:05,R1,2,d0748ae4,H,y2_neg_2of3,single_h_share_group_in,holdout,auroc,0.674607,0.9778,sign=+; train_auc=0.5185; families=A+C+D+E+F+G+H
2026-09-19T00:05,R1,2,d0748ae4,javier14,y2_neg_2of3,javier_score,holdout,auroc_neg_score,0.775788,1.0000,fit_ref on train company-months only; AUROC of -score
2026-09-19T00:07,R3,3,6bfff878,A+C+D+E+F+G+H,y2_neg_2of3,lightgbm_panel,cv5_group,auroc,0.540085,0.7807,"trees=50; n_x=282; lags=1,3; meta=group_size,n_banking; no_monotone; skipped=-; vs_dummy=0.541/0.500; vs_single=a_n_tx 0.41536336148472525"
2026-09-19T00:07,R3,3,6bfff878,A+C+D+E+F+G+H,y2_neg_2of3,lightgbm_panel,cv5_group,pr_auc,0.0776649,0.7807,"trees=50; n_x=282; lags=1,3; meta=group_size,n_banking; no_monotone; skipped=-; vs_dummy=0.541/0.500; vs_single=a_n_tx 0.41536336148472525"
2026-09-19T00:07,R3,3,6bfff878,A+C+D+E+F+G+H,y2_neg_2of3,lightgbm_panel,holdout,auroc,0.540507,1.0000,"trees=50; n_x=282; lags=1,3; meta=group_size,n_banking; no_monotone; skipped=-; vs_dummy=0.541/0.500; vs_single=a_n_tx 0.41536336148472525"
2026-09-19T00:07,R3,3,6bfff878,A+C+D+E+F+G+H,y2_neg_2of3,lightgbm_panel,holdout,pr_auc,0.0801248,1.0000,"trees=50; n_x=282; lags=1,3; meta=group_size,n_banking; no_monotone; skipped=-; vs_dummy=0.541/0.500; vs_single=a_n_tx 0.41536336148472525"
2026-09-19T00:07,R3,3,6bfff878,-,y2_neg_2of3,dummy_prior,holdout,auroc,0.5,1.0000,constant train prevalence 0.0732
2026-09-19T00:07,R3,3,6bfff878,A,y2_neg_2of3,single_a_n_tx,holdout,auroc,0.415363,1.0000,sign=1; train_auc=0.6007; src=baselines.single_feature_auroc
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,last_value,train_sample40,median_norm_mae,1.32719,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,last_value,train_sample40,winrate_vs_mean,0.375,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,hist_mean,train_sample40,median_norm_mae,1.07455,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,hist_mean,train_sample40,winrate_vs_mean,0,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,seas_naive,train_sample40,median_norm_mae,1.40878,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
